GEO_ID,NAME,,DP04_0046PE,DP04_0046PM,Homeownership_Rate,Homeownership_Rate_Error
1400000US18039000100,Census Tract 1; Elkhart County; Indiana,,64.2,8.5,0.642,0.085
1400000US18039000201,Census Tract 2.01; Elkhart County; Indiana,,75.8,12.2,0.758,0.122
1400000US18039000202,Census Tract 2.02; Elkhart County; Indiana,,61.2,10.4,0.612,0.104
1400000US18039000301,Census Tract 3.01; Elkhart County; Indiana,,87.7,5,0.877,0.05
1400000US18039000302,Census Tract 3.02; Elkhart County; Indiana,,49.3,8.3,0.493,0.083
1400000US18039000400,Census Tract 4; Elkhart County; Indiana,,79.6,6.3,0.796,0.063
1400000US18039000501,Census Tract 5.01; Elkhart County; Indiana,,53.9,10.7,0.539,0.107
1400000US18039000502,Census Tract 5.02; Elkhart County; Indiana,,67.2,7.8,0.672,0.078
1400000US18039000601,Census Tract 6.01; Elkhart County; Indiana,,94.2,4.5,0.942,0.045
1400000US18039000602,Census Tract 6.02; Elkhart County; Indiana,,87.3,5.2,0.873,0.052
1400000US18039000701,Census Tract 7.01; Elkhart County; Indiana,,96.5,3.7,0.965,0.037
1400000US18039000702,Census Tract 7.02; Elkhart County; Indiana,,61.6,11,0.616,0.11
1400000US18039000801,Census Tract 8.01; Elkhart County; Indiana,,91.3,6.5,0.913,0.065
1400000US18039000803,Census Tract 8.03; Elkhart County; Indiana,,85.5,8.5,0.855,0.085
1400000US18039000804,Census Tract 8.04; Elkhart County; Indiana,,80.2,5.9,0.802,0.059
1400000US18039000901,Census Tract 9.01; Elkhart County; Indiana,,84.9,5,0.849,0.05
1400000US18039000902,Census Tract 9.02; Elkhart County; Indiana,,90.4,4.9,0.904,0.049
1400000US18039001000,Census Tract 10; Elkhart County; Indiana,,91.1,3.8,0.911,0.038
1400000US18039001100,Census Tract 11; Elkhart County; Indiana,,85.1,7.4,0.851,0.074
1400000US18039001200,Census Tract 12; Elkhart County; Indiana,,57.9,9,0.579,0.09
1400000US18039001301,Census Tract 13.01; Elkhart County; Indiana,,86.7,4.3,0.867,0.043
1400000US18039001302,Census Tract 13.02; Elkhart County; Indiana,,86.5,10.1,0.865,0.101
1400000US18039001401,Census Tract 14.01; Elkhart County; Indiana,,89,7.1,0.89,0.071
1400000US18039001402,Census Tract 14.02; Elkhart County; Indiana,,91.5,5.5,0.915,0.055
1400000US18039001501,Census Tract 15.01; Elkhart County; Indiana,,56.1,9.3,0.561,0.093
1400000US18039001502,Census Tract 15.02; Elkhart County; Indiana,,88.8,6.5,0.888,0.065
1400000US18039001601,Census Tract 16.01; Elkhart County; Indiana,,47.1,12.2,0.471,0.122
1400000US18039001602,Census Tract 16.02; Elkhart County; Indiana,,74.8,7.3,0.748,0.073
1400000US18039001701,Census Tract 17.01; Elkhart County; Indiana,,72.1,8.6,0.721,0.086
1400000US18039001702,Census Tract 17.02; Elkhart County; Indiana,,54,12.9,0.54,0.129
1400000US18039001801,Census Tract 18.01; Elkhart County; Indiana,,74.2,6.3,0.742,0.063
1400000US18039001802,Census Tract 18.02; Elkhart County; Indiana,,90.4,3.7,0.904,0.037
1400000US18039001901,Census Tract 19.01; Elkhart County; Indiana,,54.8,8.2,0.548,0.082
1400000US18039001902,Census Tract 19.02; Elkhart County; Indiana,,57.1,8.3,0.571,0.083
1400000US18039002001,Census Tract 20.01; Elkhart County; Indiana,,85.3,6.8,0.853,0.068
1400000US18039002002,Census Tract 20.02; Elkhart County; Indiana,,92.1,5.1,0.921,0.051
1400000US18039002101,Census Tract 21.01; Elkhart County; Indiana,,85.9,6.7,0.859,0.067
1400000US18039002102,Census Tract 21.02; Elkhart County; Indiana,,53.3,11.1,0.533,0.111
1400000US18039002201,Census Tract 22.01; Elkhart County; Indiana,,37,13.2,0.37,0.132
1400000US18039002202,Census Tract 22.02; Elkhart County; Indiana,,68.8,9.6,0.688,0.096
1400000US18039002300,Census Tract 23; Elkhart County; Indiana,,55.2,10.3,0.552,0.103
1400000US18039002400,Census Tract 24; Elkhart County; Indiana,,82.5,7.8,0.825,0.078
1400000US18039002600,Census Tract 26; Elkhart County; Indiana,,44.8,10.1,0.448,0.101
1400000US18039002700,Census Tract 27; Elkhart County; Indiana,,28.1,16.1,0.281,0.161
1400000US18039002900,Census Tract 29; Elkhart County; Indiana,,65.4,10.2,0.654,0.102
1400000US18099020101,Census Tract 201.01; Marshall County; Indiana,,70.9,8.2,0.709,0.082
1400000US18099020102,Census Tract 201.02; Marshall County; Indiana,,82.8,8.9,0.828,0.089
1400000US18099020201,Census Tract 202.01; Marshall County; Indiana,,82.1,6.9,0.821,0.069
1400000US18099020202,Census Tract 202.02; Marshall County; Indiana,,89.7,7.2,0.897,0.072
