GEO_ID,NAME,DP05_0033E,DP05_0033M,DP05_0045E,DP05_0045M,Estimate Black Population Ratio,DP05_0089E,DP05_0089M,DP05_0090E,DP05_0090M,Estimate Hispanic Population Ratio
1400000US18039000100,Census Tract 1; Elkhart County; Indiana,2817,545,30,44,0.010649627,2817,545,726,219,0.25772098
1400000US18039000201,Census Tract 2.01; Elkhart County; Indiana,2876,509,10,17,0.003477051,2876,509,1879,517,0.653337969
1400000US18039000202,Census Tract 2.02; Elkhart County; Indiana,3946,1027,148,139,0.037506336,3946,1027,1559,721,0.395083629
1400000US18039000301,Census Tract 3.01; Elkhart County; Indiana,4782,642,3,6,0.000627353,4782,642,1848,484,0.386449184
1400000US18039000302,Census Tract 3.02; Elkhart County; Indiana,6406,706,318,346,0.049640962,6406,706,1194,506,0.186387761
1400000US18039000400,Census Tract 4; Elkhart County; Indiana,5062,552,198,150,0.039114974,5062,552,569,392,0.112406164
1400000US18039000501,Census Tract 5.01; Elkhart County; Indiana,7061,1137,76,102,0.010763348,7061,1137,3446,1122,0.488032857
1400000US18039000502,Census Tract 5.02; Elkhart County; Indiana,5186,589,45,45,0.008677208,5186,589,1789,507,0.344967219
1400000US18039000601,Census Tract 6.01; Elkhart County; Indiana,5108,570,92,91,0.018010963,5108,570,267,245,0.052270948
1400000US18039000602,Census Tract 6.02; Elkhart County; Indiana,5927,572,2,4,0.000337439,5927,572,1122,390,0.189303189
1400000US18039000701,Census Tract 7.01; Elkhart County; Indiana,3894,398,6,14,0.001540832,3894,398,314,238,0.080636877
1400000US18039000702,Census Tract 7.02; Elkhart County; Indiana,3032,403,56,49,0.018469657,3032,403,530,318,0.174802111
1400000US18039000801,Census Tract 8.01; Elkhart County; Indiana,4099,607,48,76,0.011710173,4099,607,0,13,0
1400000US18039000803,Census Tract 8.03; Elkhart County; Indiana,4124,594,0,13,0,4124,594,117,128,0.028370514
1400000US18039000804,Census Tract 8.04; Elkhart County; Indiana,5004,466,149,162,0.029776179,5004,466,550,347,0.10991207
1400000US18039000901,Census Tract 9.01; Elkhart County; Indiana,5083,392,15,21,0.002951013,5083,392,351,218,0.069053708
1400000US18039000902,Census Tract 9.02; Elkhart County; Indiana,3011,392,11,19,0.003653271,3011,392,10,19,0.003321156
1400000US18039001000,Census Tract 10; Elkhart County; Indiana,4998,19,0,13,0,4998,19,442,253,0.088435374
1400000US18039001100,Census Tract 11; Elkhart County; Indiana,5409,585,101,105,0.018672583,5409,585,251,177,0.046404141
1400000US18039001200,Census Tract 12; Elkhart County; Indiana,5139,587,87,90,0.016929364,5139,587,957,507,0.186223001
1400000US18039001301,Census Tract 13.01; Elkhart County; Indiana,3389,25,65,55,0.019179699,3389,25,191,190,0.056358808
1400000US18039001302,Census Tract 13.02; Elkhart County; Indiana,3720,125,22,29,0.005913978,3720,125,221,166,0.059408602
1400000US18039001401,Census Tract 14.01; Elkhart County; Indiana,5305,553,11,21,0.002073516,5305,553,1029,584,0.193967955
1400000US18039001402,Census Tract 14.02; Elkhart County; Indiana,4184,552,174,147,0.041586998,4184,552,307,180,0.073374761
1400000US18039001501,Census Tract 15.01; Elkhart County; Indiana,6293,715,1085,453,0.172413793,6293,715,1629,925,0.25885905
1400000US18039001502,Census Tract 15.02; Elkhart County; Indiana,6668,717,289,189,0.043341332,6668,717,596,313,0.089382124
1400000US18039001601,Census Tract 16.01; Elkhart County; Indiana,4862,775,156,283,0.032085561,4862,775,1381,730,0.28403949
1400000US18039001602,Census Tract 16.02; Elkhart County; Indiana,4118,528,74,69,0.017969888,4118,528,411,261,0.099805731
1400000US18039001701,Census Tract 17.01; Elkhart County; Indiana,3112,433,174,147,0.055912596,3112,433,294,205,0.094473008
