GEO_ID,NAME,B14006_001E,B14006_001M,B14006_002E,B14006_002M,Pov_Rate
1400000US18039000100,Census Tract 1; Elkhart County; Indiana,2766,558,326,171,0.117859725
1400000US18039000201,Census Tract 2.01; Elkhart County; Indiana,2832,512,899,493,0.317443503
1400000US18039000202,Census Tract 2.02; Elkhart County; Indiana,3739,1011,996,702,0.266381385
1400000US18039000301,Census Tract 3.01; Elkhart County; Indiana,4278,638,422,237,0.098644226
1400000US18039000302,Census Tract 3.02; Elkhart County; Indiana,5641,683,935,446,0.165750753
1400000US18039000400,Census Tract 4; Elkhart County; Indiana,4614,496,455,355,0.098612917
1400000US18039000501,Census Tract 5.01; Elkhart County; Indiana,6722,1063,928,598,0.138054151
1400000US18039000502,Census Tract 5.02; Elkhart County; Indiana,5033,578,767,268,0.152394198
1400000US18039000601,Census Tract 6.01; Elkhart County; Indiana,4972,581,131,105,0.026347546
1400000US18039000602,Census Tract 6.02; Elkhart County; Indiana,5720,601,152,117,0.026573427
1400000US18039000701,Census Tract 7.01; Elkhart County; Indiana,3823,393,143,83,0.037405179
1400000US18039000702,Census Tract 7.02; Elkhart County; Indiana,2822,366,632,459,0.223954642
1400000US18039000801,Census Tract 8.01; Elkhart County; Indiana,3786,559,236,129,0.062334918
1400000US18039000803,Census Tract 8.03; Elkhart County; Indiana,3864,528,113,105,0.029244306
1400000US18039000804,Census Tract 8.04; Elkhart County; Indiana,4757,426,532,279,0.11183519
1400000US18039000901,Census Tract 9.01; Elkhart County; Indiana,4748,379,331,195,0.069713564
1400000US18039000902,Census Tract 9.02; Elkhart County; Indiana,2789,372,62,44,0.02223019
1400000US18039001000,Census Tract 10; Elkhart County; Indiana,4717,131,348,177,0.073775705
1400000US18039001100,Census Tract 11; Elkhart County; Indiana,5206,594,234,216,0.044948137
1400000US18039001200,Census Tract 12; Elkhart County; Indiana,5054,580,528,279,0.104471706
1400000US18039001301,Census Tract 13.01; Elkhart County; Indiana,3168,50,177,145,0.055871212
1400000US18039001302,Census Tract 13.02; Elkhart County; Indiana,3592,128,299,216,0.083240535
1400000US18039001401,Census Tract 14.01; Elkhart County; Indiana,5136,550,287,202,0.055880062
1400000US18039001402,Census Tract 14.02; Elkhart County; Indiana,4053,535,511,401,0.126079447
1400000US18039001501,Census Tract 15.01; Elkhart County; Indiana,6085,711,975,666,0.160230074
1400000US18039001502,Census Tract 15.02; Elkhart County; Indiana,6566,709,495,321,0.075388364
1400000US18039001601,Census Tract 16.01; Elkhart County; Indiana,4616,716,1208,655,0.26169844
1400000US18039001602,Census Tract 16.02; Elkhart County; Indiana,4004,527,486,340,0.121378621
1400000US18039001701,Census Tract 17.01; Elkhart County; Indiana,3035,416,455,211,0.149917628
1400000US18039001702,Census Tract 17.02; Elkhart County; Indiana,4956,702,852,548,0.171912833
1400000US18039001801,Census Tract 18.01; Elkhart County; Indiana,4441,633,294,151,0.066201306
1400000US18039001802,Census Tract 18.02; Elkhart County; Indiana,6600,661,103,62,0.015606061
1400000US18039001901,Census Tract 19.01; Elkhart County; Indiana,6875,1148,1601,853,0.232872727
1400000US18039001902,Census Tract 19.02; Elkhart County; Indiana,4188,422,180,99,0.042979943
1400000US18039002001,Census Tract 20.01; Elkhart County; Indiana,3044,466,272,189,0.08935611
1400000US18039002002,Census Tract 20.02; Elkhart County; Indiana,3769,473,218,165,0.057840276
1400000US18039002101,Census Tract 21.01; Elkhart County; Indiana,4118,572,435,239,0.105633803
1400000US18039002102,Census Tract 21.02; Elkhart County; Indiana,5241,834,756,477,0.144247281
1400000US18039002201,Census Tract 22.01; Elkhart County; Indiana,4178,1118,1842,1064,0.440880804
1400000US18039002202,Census Tract 22.02; Elkhart County; Indiana,4716,931,309,194,0.065521628
1400000US18039002300,Census Tract 23; Elkhart County; Indiana,2010,458,274,132,0.136318408
1400000US18039002400,Census Tract 24; Elkhart County; Indiana,4555,559,401,195,0.088035126
1400000US18039002600,Census Tract 26; Elkhart County; Indiana,3973,671,1293,420,0.325446766
1400000US18039002700,Census Tract 27; Elkhart County; Indiana,1536,378,428,230,0.278645833
1400000US18039002900,Census Tract 29; Elkhart County; Indiana,4142,785,475,230,0.114678899
1400000US18099020101,Census Tract 201.01; Marshall County; Indiana,5190,289,1169,479,0.225240848
1400000US18099020102,Census Tract 201.02; Marshall County; Indiana,3354,278,148,111,0.044126416
1400000US18099020201,Census Tract 202.01; Marshall County; Indiana,3808,109,365,173,0.09585084
1400000US18099020202,Census Tract 202.02; Marshall County; Indiana,2462,271,369,234,0.149878148
1400000US18099020301,Census Tract 203.01; Marshall County; Indiana,3582,73,208,108,0.058068118
1400000US18099020302,Census Tract 203.02; Marshall County; Indiana,2623,65,588,179,0.224170797
1400000US18099020400,Census Tract 204; Marshall County; Indiana,3298,416,328,182,0.099454215
1400000US18099020500,Census Tract 205; Marshall County; Indiana,3581,434,693,305,0.193521363
1400000US18099020600,Census Tract 206; Marshall County; Indiana,5080,499,587,367,0.115551181
1400000US18099020701,Census Tract 207.01; Marshall County; Indiana,3267,399,58,50,0.01775329
1400000US18099020702,Census Tract 207.02; Marshall County; Indiana,2759,39,211,101,0.076476984
1400000US18099020800,Census Tract 208; Marshall County; Indiana,5299,281,429,190,0.080958671
