GEO_ID,NAME,B19013_001E,B19013_001M
1400000US18039000100,Census Tract 1; Elkhart County; Indiana,65128,7545
1400000US18039000201,Census Tract 2.01; Elkhart County; Indiana,49333,11242
1400000US18039000202,Census Tract 2.02; Elkhart County; Indiana,59755,9044
1400000US18039000301,Census Tract 3.01; Elkhart County; Indiana,74811,16610
1400000US18039000302,Census Tract 3.02; Elkhart County; Indiana,49858,8253
1400000US18039000400,Census Tract 4; Elkhart County; Indiana,82030,4269
1400000US18039000501,Census Tract 5.01; Elkhart County; Indiana,67794,8326
1400000US18039000502,Census Tract 5.02; Elkhart County; Indiana,66182,17460
1400000US18039000601,Census Tract 6.01; Elkhart County; Indiana,115338,8518
1400000US18039000602,Census Tract 6.02; Elkhart County; Indiana,103727,22532
1400000US18039000701,Census Tract 7.01; Elkhart County; Indiana,81305,7920
1400000US18039000702,Census Tract 7.02; Elkhart County; Indiana,59258,7206
1400000US18039000801,Census Tract 8.01; Elkhart County; Indiana,87171,17319
1400000US18039000803,Census Tract 8.03; Elkhart County; Indiana,79853,20281
1400000US18039000804,Census Tract 8.04; Elkhart County; Indiana,89539,24010
1400000US18039000901,Census Tract 9.01; Elkhart County; Indiana,92228,9915
1400000US18039000902,Census Tract 9.02; Elkhart County; Indiana,102941,21593
1400000US18039001000,Census Tract 10; Elkhart County; Indiana,89542,13556
1400000US18039001100,Census Tract 11; Elkhart County; Indiana,106168,23561
1400000US18039001200,Census Tract 12; Elkhart County; Indiana,54195,15724
1400000US18039001301,Census Tract 13.01; Elkhart County; Indiana,81510,9659
1400000US18039001302,Census Tract 13.02; Elkhart County; Indiana,81172,13977
1400000US18039001401,Census Tract 14.01; Elkhart County; Indiana,90116,12211
1400000US18039001402,Census Tract 14.02; Elkhart County; Indiana,74300,15151
1400000US18039001501,Census Tract 15.01; Elkhart County; Indiana,71662,18922
1400000US18039001502,Census Tract 15.02; Elkhart County; Indiana,90882,26183
1400000US18039001601,Census Tract 16.01; Elkhart County; Indiana,49296,7608
1400000US18039001602,Census Tract 16.02; Elkhart County; Indiana,88254,16842
1400000US18039001701,Census Tract 17.01; Elkhart County; Indiana,57308,9405
