GEO_ID,NAME,S1810_C03_001E,S1810_C03_001M,Disability_Rate,Disability_Rate_Error
1400000US18039000100,Census Tract 1; Elkhart County; Indiana,12.3,4.9,0.123,0.049
1400000US18039000201,Census Tract 2.01; Elkhart County; Indiana,10.1,4.4,0.101,0.044
1400000US18039000202,Census Tract 2.02; Elkhart County; Indiana,11.3,4.9,0.113,0.049
1400000US18039000301,Census Tract 3.01; Elkhart County; Indiana,6.8,2.1,0.068,0.021
1400000US18039000302,Census Tract 3.02; Elkhart County; Indiana,19.2,4.1,0.192,0.041
1400000US18039000400,Census Tract 4; Elkhart County; Indiana,10.9,3.9,0.109,0.039
1400000US18039000501,Census Tract 5.01; Elkhart County; Indiana,13.1,3.7,0.131,0.037
1400000US18039000502,Census Tract 5.02; Elkhart County; Indiana,10.8,3.4,0.108,0.034
1400000US18039000601,Census Tract 6.01; Elkhart County; Indiana,9.2,2.4,0.092,0.024
1400000US18039000602,Census Tract 6.02; Elkhart County; Indiana,6.1,2.4,0.061,0.024
1400000US18039000701,Census Tract 7.01; Elkhart County; Indiana,13.9,5.5,0.139,0.055
1400000US18039000702,Census Tract 7.02; Elkhart County; Indiana,19.1,6.2,0.191,0.062
1400000US18039000801,Census Tract 8.01; Elkhart County; Indiana,7.3,3.1,0.073,0.031
1400000US18039000803,Census Tract 8.03; Elkhart County; Indiana,7.5,3.4,0.075,0.034
1400000US18039000804,Census Tract 8.04; Elkhart County; Indiana,9.2,4.3,0.092,0.043
1400000US18039000901,Census Tract 9.01; Elkhart County; Indiana,5.7,2.3,0.057,0.023
1400000US18039000902,Census Tract 9.02; Elkhart County; Indiana,4.2,1.8,0.042,0.018
1400000US18039001000,Census Tract 10; Elkhart County; Indiana,7.2,2.3,0.072,0.023
1400000US18039001100,Census Tract 11; Elkhart County; Indiana,6.1,2.1,0.061,0.021
1400000US18039001200,Census Tract 12; Elkhart County; Indiana,12.6,4.2,0.126,0.042
1400000US18039001301,Census Tract 13.01; Elkhart County; Indiana,11.7,4,0.117,0.04
1400000US18039001302,Census Tract 13.02; Elkhart County; Indiana,9.5,3.4,0.095,0.034
1400000US18039001401,Census Tract 14.01; Elkhart County; Indiana,19.4,5,0.194,0.05
1400000US18039001402,Census Tract 14.02; Elkhart County; Indiana,10.3,4.2,0.103,0.042
1400000US18039001501,Census Tract 15.01; Elkhart County; Indiana,14,5.4,0.14,0.054
1400000US18039001502,Census Tract 15.02; Elkhart County; Indiana,17.4,3.6,0.174,0.036
1400000US18039001601,Census Tract 16.01; Elkhart County; Indiana,17.2,4.3,0.172,0.043
