GEO_ID,NAME,S2301_C04_001E,S2301_C04_001M,Unemployement_Rate,Unemployement_RateUError
1400000US18039000100,Census Tract 1; Elkhart County; Indiana,2.9,2.6,0.029,0.026
1400000US18039000201,Census Tract 2.01; Elkhart County; Indiana,5.6,6.6,0.056,0.066
1400000US18039000202,Census Tract 2.02; Elkhart County; Indiana,3.8,2.8,0.038,0.028
1400000US18039000301,Census Tract 3.01; Elkhart County; Indiana,3.9,2.7,0.039,0.027
1400000US18039000302,Census Tract 3.02; Elkhart County; Indiana,1.4,1.3,0.014,0.013
1400000US18039000400,Census Tract 4; Elkhart County; Indiana,3.6,3.6,0.036,0.036
1400000US18039000501,Census Tract 5.01; Elkhart County; Indiana,5.6,5,0.056,0.05
1400000US18039000502,Census Tract 5.02; Elkhart County; Indiana,2.1,2.1,0.021,0.021
1400000US18039000601,Census Tract 6.01; Elkhart County; Indiana,2.9,3,0.029,0.03
1400000US18039000602,Census Tract 6.02; Elkhart County; Indiana,4.5,3.1,0.045,0.031
1400000US18039000701,Census Tract 7.01; Elkhart County; Indiana,3.6,3.2,0.036,0.032
1400000US18039000702,Census Tract 7.02; Elkhart County; Indiana,1.6,2,0.016,0.02
1400000US18039000801,Census Tract 8.01; Elkhart County; Indiana,0,2.3,0,0.023
1400000US18039000803,Census Tract 8.03; Elkhart County; Indiana,2.9,3.2,0.029,0.032
1400000US18039000804,Census Tract 8.04; Elkhart County; Indiana,3.2,2.3,0.032,0.023
1400000US18039000901,Census Tract 9.01; Elkhart County; Indiana,5.3,2.8,0.053,0.028
1400000US18039000902,Census Tract 9.02; Elkhart County; Indiana,2.5,1.9,0.025,0.019
1400000US18039001000,Census Tract 10; Elkhart County; Indiana,1,0.9,0.01,0.009
1400000US18039001100,Census Tract 11; Elkhart County; Indiana,0.3,0.4,0.003,0.004
1400000US18039001200,Census Tract 12; Elkhart County; Indiana,8.1,5,0.081,0.05
1400000US18039001301,Census Tract 13.01; Elkhart County; Indiana,7.4,7.6,0.074,0.076
1400000US18039001302,Census Tract 13.02; Elkhart County; Indiana,3.5,2.8,0.035,0.028
1400000US18039001401,Census Tract 14.01; Elkhart County; Indiana,1.9,1.7,0.019,0.017
1400000US18039001402,Census Tract 14.02; Elkhart County; Indiana,5.5,4.5,0.055,0.045
1400000US18039001501,Census Tract 15.01; Elkhart County; Indiana,5.5,4.4,0.055,0.044
1400000US18039001502,Census Tract 15.02; Elkhart County; Indiana,1.1,1.1,0.011,0.011
1400000US18039001601,Census Tract 16.01; Elkhart County; Indiana,4.7,7.3,0.047,0.073
1400000US18039001602,Census Tract 16.02; Elkhart County; Indiana,2.2,2.6,0.022,0.026
1400000US18039001701,Census Tract 17.01; Elkhart County; Indiana,2.2,2.3,0.022,0.023
1400000US18039001702,Census Tract 17.02; Elkhart County; Indiana,4.2,4.9,0.042,0.049
1400000US18039001801,Census Tract 18.01; Elkhart County; Indiana,3.1,2.6,0.031,0.026
1400000US18039001802,Census Tract 18.02; Elkhart County; Indiana,3.7,3.3,0.037,0.033
1400000US18039001901,Census Tract 19.01; Elkhart County; Indiana,5.7,5.8,0.057,0.058
1400000US18039001902,Census Tract 19.02; Elkhart County; Indiana,3.8,3,0.038,0.03
1400000US18039002001,Census Tract 20.01; Elkhart County; Indiana,3.6,4.5,0.036,0.045
1400000US18039002002,Census Tract 20.02; Elkhart County; Indiana,3.3,4.4,0.033,0.044
1400000US18039002101,Census Tract 21.01; Elkhart County; Indiana,0.7,1.2,0.007,0.012
1400000US18039002102,Census Tract 21.02; Elkhart County; Indiana,5.1,4,0.051,0.04
1400000US18039002201,Census Tract 22.01; Elkhart County; Indiana,3.2,3.1,0.032,0.031
1400000US18039002202,Census Tract 22.02; Elkhart County; Indiana,2.9,3.2,0.029,0.032
1400000US18039002300,Census Tract 23; Elkhart County; Indiana,6.2,5.8,0.062,0.058
1400000US18039002400,Census Tract 24; Elkhart County; Indiana,5.1,3.4,0.051,0.034
1400000US18039002600,Census Tract 26; Elkhart County; Indiana,8.8,6.2,0.088,0.062
1400000US18039002700,Census Tract 27; Elkhart County; Indiana,3.6,3.9,0.036,0.039
1400000US18039002900,Census Tract 29; Elkhart County; Indiana,0.7,1.1,0.007,0.011
1400000US18099020101,Census Tract 201.01; Marshall County; Indiana,0.5,0.7,0.005,0.007
1400000US18099020102,Census Tract 201.02; Marshall County; Indiana,5.7,5.3,0.057,0.053
1400000US18099020201,Census Tract 202.01; Marshall County; Indiana,2.3,2,0.023,0.02
1400000US18099020202,Census Tract 202.02; Marshall County; Indiana,1.2,1.5,0.012,0.015
1400000US18099020301,Census Tract 203.01; Marshall County; Indiana,0.9,1.5,0.009,0.015
1400000US18099020302,Census Tract 203.02; Marshall County; Indiana,2.5,1.9,0.025,0.019
1400000US18099020400,Census Tract 204; Marshall County; Indiana,1.4,1.8,0.014,0.018
1400000US18099020500,Census Tract 205; Marshall County; Indiana,4.2,3.1,0.042,0.031
1400000US18099020600,Census Tract 206; Marshall County; Indiana,2.8,1.8,0.028,0.018
1400000US18099020701,Census Tract 207.01; Marshall County; Indiana,3.3,3.4,0.033,0.034
1400000US18099020702,Census Tract 207.02; Marshall County; Indiana,3.6,1.9,0.036,0.019
1400000US18099020800,Census Tract 208; Marshall County; Indiana,3,1.6,0.03,0.016
1400000US18141000100,Census Tract 1; St. Joseph County; Indiana,9.6,6.5,0.096,0.065
1400000US18141000200,Census Tract 2; St. Joseph County; Indiana,3.1,3.8,0.031,0.038
1400000US18141000301,Census Tract 3.01; St. Joseph County; Indiana,6,4.1,0.06,0.041
1400000US18141000302,Census Tract 3.02; St. Joseph County; Indiana,5.1,4.2,0.051,0.042
1400000US18141000400,Census Tract 4; St. Joseph County; Indiana,11.4,6.3,0.114,0.063
1400000US18141000500,Census Tract 5; St. Joseph County; Indiana,5.1,5.4,0.051,0.054
1400000US18141000600,Census Tract 6; St. Joseph County; Indiana,12.8,9.2,0.128,0.092
1400000US18141000700,Census Tract 7; St. Joseph County; Indiana,1.8,2.1,0.018,0.021
1400000US18141000800,Census Tract 8; St. Joseph County; Indiana,4.6,4.4,0.046,0.044
1400000US18141000900,Census Tract 9; St. Joseph County; Indiana,2.9,2.8,0.029,0.028
1400000US18141001000,Census Tract 10; St. Joseph County; Indiana,1.7,2.4,0.017,0.024
1400000US18141001100,Census Tract 11; St. Joseph County; Indiana,2.4,1.9,0.024,0.019
1400000US18141001200,Census Tract 12; St. Joseph County; Indiana,3.5,2.8,0.035,0.028
1400000US18141001300,Census Tract 13; St. Joseph County; Indiana,14.6,13,0.146,0.13
1400000US18141001400,Census Tract 14; St. Joseph County; Indiana,3.3,3.2,0.033,0.032
1400000US18141001500,Census Tract 15; St. Joseph County; Indiana,6.7,8.3,0.067,0.083
1400000US18141001600,Census Tract 16; St. Joseph County; Indiana,12,7.1,0.12,0.071
1400000US18141001700,Census Tract 17; St. Joseph County; Indiana,6.8,5.3,0.068,0.053
1400000US18141001900,Census Tract 19; St. Joseph County; Indiana,4.3,3.9,0.043,0.039
1400000US18141002000,Census Tract 20; St. Joseph County; Indiana,21.2,16.6,0.212,0.166
1400000US18141002100,Census Tract 21; St. Joseph County; Indiana,6.1,5.3,0.061,0.053
1400000US18141002200,Census Tract 22; St. Joseph County; Indiana,4,3.3,0.04,0.033
1400000US18141002300,Census Tract 23; St. Joseph County; Indiana,7.9,7.4,0.079,0.074
1400000US18141002400,Census Tract 24; St. Joseph County; Indiana,22.1,15.3,0.221,0.153
1400000US18141002500,Census Tract 25; St. Joseph County; Indiana,7,6.5,0.07,0.065
1400000US18141002600,Census Tract 26; St. Joseph County; Indiana,3.3,2.9,0.033,0.029
1400000US18141002700,Census Tract 27; St. Joseph County; Indiana,13.9,9.1,0.139,0.091
1400000US18141002800,Census Tract 28; St. Joseph County; Indiana,11.8,6.7,0.118,0.067
1400000US18141002900,Census Tract 29; St. Joseph County; Indiana,11.2,9.6,0.112,0.096
1400000US18141003000,Census Tract 30; St. Joseph County; Indiana,8.5,4.9,0.085,0.049
1400000US18141003100,Census Tract 31; St. Joseph County; Indiana,2,2.8,0.02,0.028
1400000US18141003200,Census Tract 32; St. Joseph County; Indiana,4.7,3,0.047,0.03
1400000US18141003300,Census Tract 33; St. Joseph County; Indiana,7.3,4.4,0.073,0.044
1400000US18141003400,Census Tract 34; St. Joseph County; Indiana,15.3,9.5,0.153,0.095
1400000US18141003500,Census Tract 35; St. Joseph County; Indiana,2.4,2.3,0.024,0.023
1400000US18141010100,Census Tract 101; St. Joseph County; Indiana,14.6,6.8,0.146,0.068
1400000US18141010201,Census Tract 102.01; St. Joseph County; Indiana,3.2,3.2,0.032,0.032
1400000US18141010202,Census Tract 102.02; St. Joseph County; Indiana,1.2,1.8,0.012,0.018
1400000US18141010300,Census Tract 103; St. Joseph County; Indiana,16.3,10.3,0.163,0.103
1400000US18141010400,Census Tract 104; St. Joseph County; Indiana,0.8,1.3,0.008,0.013
1400000US18141010500,Census Tract 105; St. Joseph County; Indiana,0.2,0.4,0.002,0.004
1400000US18141010600,Census Tract 106; St. Joseph County; Indiana,6.7,5.4,0.067,0.054
1400000US18141010700,Census Tract 107; St. Joseph County; Indiana,7.8,4.2,0.078,0.042
1400000US18141010800,Census Tract 108; St. Joseph County; Indiana,4.5,2.5,0.045,0.025
1400000US18141010901,Census Tract 109.01; St. Joseph County; Indiana,0,1.8,0,0.018
1400000US18141010902,Census Tract 109.02; St. Joseph County; Indiana,2.1,1.5,0.021,0.015
1400000US18141011001,Census Tract 110.01; St. Joseph County; Indiana,2.1,2.3,0.021,0.023
1400000US18141011002,Census Tract 110.02; St. Joseph County; Indiana,3.7,2.7,0.037,0.027
1400000US18141011100,Census Tract 111; St. Joseph County; Indiana,5.6,3.1,0.056,0.031
1400000US18141011203,Census Tract 112.03; St. Joseph County; Indiana,2.9,1.4,0.029,0.014
1400000US18141011303,Census Tract 113.03; St. Joseph County; Indiana,7.7,4.8,0.077,0.048
